CODE|STR
B81.7|ANEMIA MEGALOBLASTICA, MACROCITICA, DEFICIT VITAMINA B12 
B82.10|ANEMIA CRONICA
B82.11|ANEMIA MULTIFACTORIAL
B82.7|ANEMIA NORMOCITICA
B82.5|ANEMIA
B82.3|ANEMIA HEMOLITICA ADQUIRIDA
A04.8|LETARGIA
A05.5|MALESTAR INESPECIFICO
A05.4|DETERIORO GENERAL
A05.1|CONSUNCION
A05.0|SENSACION DE ENFERMEDAD (NO MAPEA)
A06.5|INCONSCIENCIA (SINCOPE)
A06.4|HISTORIA PERDIDA DE CONCIENCIA
A06.8|SENTIR DESMAYO (PERDIDA DE CONCIENCIA)
A06.7|PERDIDA CONCIENCIA
A06.12|SINCOPE TUSIGENO
A06.11|SINCOPE VASOVAGAL
A06.1|ATAQUE, DESMAYO
A07.0|COMA (NO MAPEA)
A08.1|INFLAMACION,NC
A08.2|BULTO, MASA
A08.0|INFLAMACION (NO MAPEA)
A09.2|SUDOR (PROB.) CALOR
A09.3|SUDOR NOCTURNO
A10.0|SANGRADO/HEMORRAGIA NE (NO MAPEA)
A11.1|DOLOR TORACICO NE
A11.0|DOLOR TORACICO NE (NO MAPEA)
A11.3|MOLESTIES TORACIQUES NC
A13.2|MIEDO (DE PADEC.) REACCION POR FARMAC.
A13.0|MIEDO AL TRATAMIENTO (NO MAPEA)
A16.7|NIÐO LLANTO
A16.9|NIÐO  CON SINTOMAS GRALES.
A16.12|ESPASMO DEL SOLLOZO
A16.13|LLANTO
A16.5|NIÑO MALHUMORADO
A16.4|NIÑO IRRITABLE
A16.2|NERVIOS/ANSIEDAD NERVIOSO, NIÑO
A20.0|SOLICITUD/DISCUSION EUTANASIA (NO MAPEA)
A21.1|FACTOR DE RIESGO PARA CANCER NC
A23.14|RIESGO DE CAIDA
A23.13|CONTACTO GRIPE H1N1
A23.12|RIESGO SINDROME DEL CUIDADOR
A23.11|PERSONA ANCIANA FRAGIL, ANCIANO DE ALTO RIESGO
A23.1|FACTOR DE RIESGO NE
A23.3|CONTACTO CON HIV / SIDA
A23.4|CONTACTO CON HEPATITIS B
A23.5|CONTACTO CON TBC
A23.6|CONTACTO CON VARICELA
A23.0|FACTOR DE RIESGO NE (NO MAPEA)
A23.15|RIESGO DETERIORO INTEGRIDAD CUTANEA
A23.16|RIESGO DE TRAUMATISMO
A23.17|RIESGO DE ALTERACION DEL DESARROLLO
A23.18|ANTECEDENTES FAMILIARES DE GLAUCOMA
A23.7|FACTOR DE RIESGO ENFERMEDAD INFECCIOSA
A23.9|CONTACTO SEXUAL DE RIESGO
A25.1|MIEDO (DE PADEC.) MUERTE
A25.2|MUERTE (SUBITA) MIEDO
A25.0|MIEDO A LA MUERTE/A LA AGONIA (NO MAPEA)
A26.1|MIEDO (DE PADEC.) CANCER NC (DE)
A27.0|MIEDO A OTRA ENFERMEDAD NE (NO MAPEA)
A27.7|MATERNA, ANGOIXA (SOBRE ESTAT DE FILL/A)
A27.6|MIEDO (DE PADEC.) VARICELA
A27.4|MIEDO (DE PADEC.) SARAMPION
A28.1|INCAPACIDAD (MINUSV.) NC
A28.3|CUIDADOS PALIATIVOS
A29.8|CAIDA ACCIDENTAL
A29.12|MOCO/S
A29.14|LEUCOPLASIA
A29.4|TORPEZA
A29.0|OTROS SIG/SIN GENERALES (NO MAPEA)
A29.2|SINTOMA, QUEJA, SIGNO GENERALES NC
A29.6|ESTUPOR
A30.3|EXAMEN RECIEN NACIDO SANO
A30.1|EVALUACION DE SALUD COMPLETA
D02.0|DOLOR DE ESTOMAGO/EPIGASTRICO (NO MAPEA)
D02.7|DOLOR ESTOMAGO, MALESTAR, PESADEZ, EPIGASTRALGIA
D02.5|DOLOR EPIGASTRICO NC
D02.3|ESPASMO ESTOMAGO (DOLOR)
D02.2|DOLOR ESTOMAGO NC
D03.3|PIROSIS
D03.4|PIROSIS, ARDOR, ACIDEZ (ESOFAGO, ESTOMAGO)
D03.1|ESOFAGO, QUEMAZON (PIROSIS)
D04.7|PROCTALGIA PRECOZ
D04.2|DOLOR DEFECAC. (RECT./ANAL) NC
D04.6|TENESMO RECTAL 
D04.4|MOLESTIES ANALS
D04.0|DOLOR RECTAL/ANAL (NO MAPEA)
D05.1|ANAL PRURITO
D06.1|ABDOMEN AGUDO DOLOR LOCALIZADO
D06.3|ABDOMEN DOLOR LOCALIZADO
D06.5|CALAMBRE ABDOMINAL LOCALIZADO
D06.8|DOLOR CUADRANTE INF. ABDO. NC
D06.10|DOLOR FOSA ILIACA NC
D06.11|DOLOR HIGADO NC
D06.13|DOLOR HIPOGASTRIO NC
D06.0|OTROS DOLORES ABD LOCALIZADOS (NO MAPEA)
D06.16|DOLOR ESOFAGICO
D06.17|DOLOR BUIT DRET
D06.22|DOLOR HCE
D06.24|DOLOR HEMIABDOMEN SUPERIOR NC
D06.25|DOLOR MESOGASTRI
D07.1|DIFICUL. DIGESTION
D07.2|DISPEPSIA
D07.4|DISPEPSIA (TIPO FLATULENTA)
D07.5|DISPEPSIA FUNCIONAL
D07.0|DISPEPSIA/INDIGESTION (NO MAPEA)
D07.8|DISPEPSIA NO ULCEROSA
D07.9|DISPEPSIA ULCEROSA
D07.10|DISPEPSIA TIPO RGE
D07.11|DISPEPSIA MEDICAMENTOSA
D07.7|DISPEPSIA TIPO DISMOTILIDAD
D08.1|AEROFAGIA
D08.11|TRAST GASTROINTEST PSICOGENO / AEROFAGIA /
D08.9|VENTOSITATS, AUGMENT DE
D08.8|METEORISMO
D08.2|DOLOR GASES NC
D08.3|ERUCTOS
D08.4|EXCESO (EXCESIVO) ERUCTO
D08.6|FLATULENCIA
D08.7|GASES (FLATULENCIA)
D09.1|ARCADA (NAUSEA)
A59.1|OTROS PROCEDIMIENTOS TERAPEUTICOS/CIRUGIA MENOR, NC
A59.0|OTROS PROCEDIMIENTOS TERAPEUTICOS/CIRUGIA MENOR, NE (NO MAPEA)
A60.5|ORINA NORMAL
A60.7|TUBERCULINA MANTOUX (SIN RESULTADO ESPECIFICADO)
A60.6|MICRO (NO ESPECIFICA DIAGNOSTICO)
A60.0|RES PRUEBAS Y PROCEDIMIENTOS (NO MAPEA)
A61.1|INFORME
A62.1|CONSULTA DE TIPO ADMINISTRATIVO
A64.0|CONSULTA/PROBLEMA INICIADO POR EL PROFESIONAL (NO MAPEA)
A64.1|CONSULTA SOLICITADA/INICIADA POR EL PROFESIONAL
A65.1|MEDICACION(PRESCRIP.)(PETICION DE)OTRA PRES. DISTINT.AL
A66.1|DERIVACION A OTRO PROFESIONAL/ENFERMERA/TERAPEUTA/ASISTENTE
A67.0|DERIVACION A MEDICO/ESPECIALISTA/CLINICA/HOSPITAL (NO MAPEA)
A67.9|OFTALMOLOGO
A67.6|TRAUMATOLOGIA
A67.2|CONSULTES ODONTOLOGIA
A67.1|INGRESO HOSPITAL
A68.1|OTRAS DERIVACACIONES NC
A68.0|OTRAS DERIVACACIONES NE (NO MAPEA)
A70.0|TUBERCULOSIS (NO MAPEA)
A70.23|TUBERCULOSIS RESPIRATORIA
A70.22|PLEURESIA  TUBERCULOSA
A70.21|TUBERCULOSIS RESIDUAL (PLEU./PULM.)
A70.19|DERRAME PLEURAL TUBERCULOSO
A70.18|TUBERCULOSIS
A70.17|TUBERCULOSIS GANGLIONAR
A70.16|TUBERCULINA, MANTOUX CONVERSION
A70.15|MANTOUX POSITIVO
A70.14|TUBERCULOSI CUTANIA
A70.12|TUBERCULOSIS MANTOUX POSITIVO PREVIO
A70.11|TUBERCULOSIS ZONA INESPECIFICA
A70.9|TUBERCULOSIS PRIMARIA
A70.8|TUBERCULOSIS OTRAS (NO RESP.)
A70.7|TUBERCULOSIS MENINGEA
A70.5|TUBERCULOSIS HUESO
A70.4|TUBERCULOSIS GENERALIZADA
A70.1|MANTOUX, CONVERSION POSITIVA RECIENTE
A71.0|SARAMPION (NO MAPEA)
A71.1|SARAMPION
A72.1|VARICELA
A72.0|VARICELA (NO MAPEA)
A73.1|MALARIA
A74.1|RUBEOLA
A74.0|RUBEOLA (NO MAPEA)
A75.2|INFECCION POR VIRUS DE EPSTEIN-BARR
A75.0|MONONUCLEOSIS INFECCIOSA (NO MAPEA)
A76.6|VIRUELA
A76.9|AFTOSIS VIRIASICA 
A76.10|EXANTEMA/ERITEMA CON FIEBRE 
A76.2|FIEBRE CON EXANT. (INFECC. VIRICA)
D09.4|NAUSEAS
D09.2|NAUSEA
D09.5|NAUSEAS (EXC: DEL EMBARAZO W05)
D09.0|NAUSEA (NO MAPEA)
D10.1|VOMITO
D11.8|DIARREA CRONICA
A30.7|REVISIONES ENFERMERIA
A31.6|CONTROL PESO
A31.4|NORMAL, EXP. DEL CRECIM.
A31.1|CRECIMIENTO VALORACION DEL
A32.0|PRUEBAS DE SENSIBILIZACION (NO MAPEA)
A33.4|ESTUDIO ALERGICO
A33.2|RUBEOLA TITULO
A35.0|ANALISIS DE ORINA (NO MAPEA)
A38.0|OTROS ANALISIS DE LABORATORIO NE (NO MAPEA)
A39.0|PRUEBA DE LA FUNCION FISICA (NO MAPEA)
A44.11|INMUNIZACION VARICELA
A44.21|VACUNACION HEPATITIS B
A44.19|INMUNIZACION
A44.4|INMUNIZACION SARAMPION
A44.5|INMUNIZACION TOSFERINA
A44.7|VACUNA TUBERCULOSIS
A44.9|INMUNIZACION: CORRECCION DE CALENDARIO VACUNAL 
A44.0|INMUNIZACIONES/MED PREVENTIVOS (NO MAPEA)
A44.13|INMUNIZACION TETANOS
A44.15|INMUNIZACION NEUMOCOCO
A44.16|INMUNIZACION RABIA
A45.0|OBSERVACION/EDUCACION SANITARIA/CONSEJO/DIETA (NO MAPEA)
A46.2|CONSULTA EN URGENCIAS
A46.1|ACTIVIDAD DE ENFERMERIA
A47.0|INTERCONSULTA CON ESPECIALISTA (NO MAPEA)
A50.0|RECETAS (NO MAPEA)
A50.3|RECETAS
A50.5|RECEPTES
A50.8|PACIENTE POLIMEDICADO
A50.10|CLT
A50.12|CONSULTA+RECETAS+ANALISIS
A52.1|INTERVENCIO QUIRURGICA
A52.0|EXCISION/REMOCION DE TEJIDOS/BIOPSIA/DESTRUCCION/DESBRIDAMIE (NO MAPEA)
A53.0|INSTRUMENTACION,CATETERIZACION/INTUBACION/DILATACION (NO MAPEA)
A54.0|REDUCCION/FIJACION/SUTURA/ESCAYOLA/APLICIONES Y REMOCI (NO MAPEA)
A56.0|VENDAJE/PRESION/COMPRESION/TAPONAMIENTO (NO MAPEA)
A57.2|HISTORIA DE FISIOTERAPIA
A57.1|MEDICINA FISICA/REHABILITACION
A58.1|CONSEJO EDUCAC. (AUTOEDUCAC.) TERAPEUTICA
A78.25|MICOSIS LINGUAL
A78.27|INFECCION SIN LOCALIZAR
A78.28|FIEBRE RECURRENTE POR GARRAPATAS
A78.29|TOXOPLASMOSIS CONGENITA
A78.32|FIEBRE ESCARLATINA
A78.34|TOXOPLASMOSIS ADQUIRIDA
A78.3|CARBUNCO
A78.5|ENFERMEDAD INFECC./PARASIT. NC
A78.6|ENFERMEDAD MICOBACTERIAS (OTRAS) NC
A78.9|HIDATIDOSIS DISEMINADA
A78.10|INFECCION, FUNGICA NC
A78.12|LEPTOSPIROSIS
A78.15|TRIPANOSOMIASIS
A79.0|CANCER/NEOPLASIA MALIGNA NE (NO MAPEA)
A79.1|CARCINOMA DISEMINADO (REGION PRIMARIA DESCONOCIDA)
A79.2|CARCINOMA IN SITU, NC (DE)
A79.3|NEOPLASIA MALIGNA ORGANO DESCONOCIDO
A79.8|METASTASIS CEREBRALES
A79.6|METASTASIS HEPATICAS
A79.7|METASTASIS OSEAS 
A79.4|NEOPLASIA MALIGNA, NC
A80.0|TRAUMATISMO/LESION NE (NO MAPEA)
A80.1|ACCIDENTE, AUTOMOVIL, DE NC
A80.2|ACCIDENTE, NC
A80.4|ACCIDENTE DE MOTO
A80.8|PINCHAZO ACCIDENTAL
A80.10|TRAUMATISMO DE TRONCO NO ESPECIFICADO
A80.5|ACCIDENTE DE TRAFICO
A81.15|TRAUMATISMO DE CARA Y CUELLO NO ESPECIFICADO
A81.16|TRAUMATISMO DE CODO/ANTEBRAZO/MUÐECA, NO ESPECIFICADO
A81.17|TRAUMATISMO DE HOMBRO/BRAZO SUPERIOR, NO ESPECIFICADO
A81.19|OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS
A81.12|TRAUMATISMO DE MANO, SALVO DEDO, NO ESPECIFICADO
A01.5|DOLOR GLUTEO
A01.4|DOLOR CRONICO
A01.3|HIPERALGESIA
A01.1|DOLOR CUERPO (GENERALIZA.) NC
A02.5|TEMBLOR ESCALOFRIOS
A02.4|SENTIR FRIO (ESCALOFRIOS)
A02.3|SENTIR ESCALOFRIOS
A02.1|ESCALOFRIOS
A02.7|DISTERMIA
A02.0|ESCALOFRIOS (NO MAPEA)
A03.6|FIEBRE SIN FOCALIDAD APARENTE
A03.7|SINDROME FEBRIL PROLONGADO
A03.8|SIND. FEBRIL
A03.0|FIEBRE (NO MAPEA)
A03.10|CRISIS FEBRIL (INFANTIL)
A03.2|FIEBRE ORIGEN DESCONOCIDO
A03.3|SENTIRSE FEBRIL
A04.9|MALESTAR, INESP. Y GENER.
A04.5|FATIGA
A04.16|DEBILIDAD GENERALIZADA
A04.14|SENTIRSE EXHAUSTO
A04.20|SINDROME DE FATIGA CRONICA
A04.19|ASTENIA PRIMAVERAL
A04.11|SENTIRSE CANSADO
A04.10|SENTIR MALESTAR
A04.2|CANSANCIO (GENERAL). VEASE DEBILIDAD
A91.6|RESULTADOS INESPECIFICOS EN EL ANALISIS DE SANGRE
A91.5|RESULTADO ANORMAL/INESPECIFICO DE MAMA
A91.3|INVESTIGACIONES RESULTADOS ANORMALES OTRAS SUSTANC. ORG. NC
A91.1|INVESTIGACIONES RESULTADOS ANORMALES ESTUDIOS FUNCIONAL. NC
A91.0|RES ANORMALES PRUEBAS NE (NO MAPEA)
A92.0|ALERGIA/REACCIONES ALERGICAS NE (NO MAPEA)
A92.13|ALERGICO RASH
A92.14|REACCION ALERGICA NC
A92.15|ALERGIA (EXCLUIDO FARMACOS)
A92.17|ALERGICO (EXCLUIDO FARMACOS)
A92.18|ALERGIA EDEMA (EXCLUIDO FARMACOS)
A92.19|ALERGIA RASH (EXCLUIDO FARMACOS)
A92.20|REACCIONES ALERGICAS NE (EXC. RAM, URTICARIA, RINITIS)
A92.21|ALERGIA ACAROS
A92.23|ALERGIA ALIMENTARIA HUEVO
A92.27|ALERGIA POSIBLE
A92.2|ALERGIA EDEMA
A92.4|REACCION ALERGICA NC EDEMA
A92.8|ANGIONEUROTICO,EDEMA (EXCLUIDO FARMACOS)
A92.9|REACCION ALERGICA NC (EXCLUIDO FARMACOS)
A93.1|INMADURO, NIÑO RECIEN NACIDO (VIVO)
A93.2|NIÑO (NACIDO VIVO) PREMATURO
A93.3|RECIEN NACIDO VIVO BAJO PESO
A94.3|RECION NACIDO VIVO ASFIXIA
A94.2|RECIEN NACIDO VIVO POSTMADURO
A94.1|PERINATAL MORBILIDAD (TODA)
A95.1|PERINATAL MORTALIDAD
A96.5|MUERTO (ENCONTRADO)
A96.1|MUERTE (SUBITA) ADULTO
A96.0|FALLECIMIENTO/MUERTE (NO MAPEA)
A97.13|VISION NORMAL
A97.11|MANTOUX NEGATIVO
A97.10|PERSONA NO FUMADORA/NO FUMADOR
A97.8|NO HABITOS TOXICOS
A97.7|PIP
A97.6|NO BEBEDOR
A97.5|CONSULTA
A97.4|AUSENCIA
A97.3|MENARQUIA
A97.2|NIÑO NORMAL (SANO)
A97.0|SIN ENFERMEDAD (NO MAPEA)
A97.12|ANALITICA NORMAL
A97.1|AUSENCIA DE ENFERMEDAD
A99.4|SINDROME CONSTITUCIONAL
B02.5|ADENOPATIA/S CERVICAL
B02.0|ADENOPATIA/DOLOR GANGLIO LINFATICO (NO MAPEA)
B02.4|ADENOPATIA AXILAR
B02.8|ADENOFLEMON
B02.10|DOLOR GANGLIO
B02.12|GANGLIOS LINFATICOS SINTOMAS/SIGNOS GENE.
B02.2|AUMENTO, AUMENTADO. GANGLIOS LINFATICOS
B04.2|SINTOMA, QUEJA, SIGNO SANGRE NC
B25.1|MIEDO (DE PADEC.) SIDA
B26.2|MIEDO (DE PADEC.) CANCER NC (DE) SANGRE
B26.3|MIEDO (DE PADEC.) ENFERMEDAD BAZO
B26.0|MIEDO CANCER SANGRE/HEMAT/LINF (NO MAPEA)
B26.1|MIEDO (DE PADEC.) CANCER NC (DE) LINFATICO
B27.3|MIEDO (DE PADEC.) ENFERMEDAD SISTEMA LINFATICO
B28.0|INCAP/MIN SANGRE/HEMAT/LIF (NO MAPEA)
B28.1|INCAPACIDAD (MINUSV.) NC SANG.,OR. HEMATOPOY.,GANGLIOS,BAZO
B29.0|OTROS SIG/SIN SANGRE HEMAT/LINF (NO MAPEA)
B33.1|COOMBS, TEST DE
D17.3|INCONTINENCIA INTESTINAL
D17.4|ANAL, INCONTINENCIA
D17.2|HECES INCONTINENCIA
D18.5|HECES MOCO
D18.6|HECES PUS
D18.1|CAMBIO (EN) (DE) HECES
D18.3|CAMBIO (EN) (DE) RITMO INTESTINAL
D18.8|CAMBIO EN LAS HECES, EN EL RITMO/HABITO INTESTINAL
D19.2|DOLOR DIENTES, MUELAS NC
D19.4|ENCIAS, SIGNOS Y SINTOMAS DE LAS
D19.9|ULCERA, ULCERACION ENCIAS
D19.13|PROBLEMA CON PROTESIS DENTAL/DENTADURA POSTIZA
A81.11|TRAUMATISMO DE DEDO DE LA MANO, NO ESPECIFICADO
A81.9|TRAUMA, TRAUMATISMO, LESION ARTROPATIA
A81.7|POLICONTUSIONAT
A81.6|TRAUMA, TRAUMATISMO, LESION TORACICO
A81.3|TRAUMA, TRAUMATISMO, LESION ABDOMINAL (MULTIPLE)
A81.1|LESION INTERNA MULTIPLE (ABD. TORAX, PELVIS) NC
A81.0|TRAUMATISMOS/LESIONES MULTIPLES (NO MAPEA)
A82.0|EFECTOS SECUNDARIOS TARDIOS TRAUMA (NO MAPEA)
A82.2|SEQÜELES POST-TRAUMATIQUES
A82.4|INFECCION POSTRAUMATICA DE HERIDA, NCOC
A84.1|EFECTO ADVERSO FARMACO DOSIS ERRONEA (SOBRE.) NC
A84.7|INTOXICACION 
A84.4|MEDICAMENTOS (INTOXICA.)
A84.6|SOBREDOSI ERRONIA FARMAC
A85.0|EFECTO ADVERSO MED DOSIS CORRECTA (NO MAPEA)
A85.15|ALERGIA PLV
A85.16|RAM PROBABLE (PROBABLE REACCION ADVERSA A MEDICAMENTOS)
A85.18|ANAFILAXIA POR MEDICAMENTO EN DOSIS CORRECTA
A85.20|ACNE POR MEDICAMENTO A DOSIS CORRECTA
A85.21|NAUSEAS Y VOMITOS ATRIBUIBLES A QUIMIOTERAPIA 
A85.24|TOS POR IECAS
A85.4|HIPERGLUCEMIA (INDUCIDA POR MEDICAMENTOS)
A85.5|RASH, EXANT., MEDICAMENTOSO (DOSIS CORRECTA)
A85.8|REACCION INMUNIZACION
A85.10|SHOCK ANAFILACTICO POR MEDICAMENTO (DOSIS CORRECTA)
A85.11|FARMAC, EFECTE SECUNDARI
A85.13|VACUNA, REACCIO ADVERSA
A86.0|EFECTOS TOXICOS SUSTANCIAS NO MED (NO MAPEA)
A86.14|ENVENENAMIENTO CASUARINA (VENENO DE ENCINA)
A86.2|EFECTO ADVERSO MORDEDURA DE SERP. VENE. NC
A86.6|ENVENENAMIENTO SUBSTANCIAS NO MEDI.
A86.9|SOBREDOSI DROGA
A87.0|COMPLICACION TRATAMIENTO MEDICO (NO MAPEA)
A87.17|OTRA COMPLICACION DE HERIDA QUIRURGICA 
A87.16|COMPLICACION DE HERIDA QUIRURGICA, DEHISCENCIA
A87.15|COMPLICACION DE HERIDA QUIRURGICA, INFECCION
A87.14|RADIODERMITIS
A87.13|SHOCK POSTOPERATORIO
A87.11|REACCION INCOMPAT., EN TRANSF.
A87.10|QUIRURGICO (EFEC. ADV.)
A87.9|INFECCION, POSTRATAMIENTO MEDICO/QUIRURG. NC
A87.8|INFECCION, POSTOPERATORIA NC
A87.7|EXTRAÑO, CUERPO OLVIDADO DURANTE INTERVENCION QUIR.
D27.6|MIEDO (DE PADEC.) PAROTIDITIS
D27.2|MIEDO (DE PADEC.) ENFERMEDAD DIGESTIVA
D29.2|INFLAMACION, RECTAL NC
D29.1|BRUXISMO
D29.0|OTROS SIG/SIN APARATO DIGESTIVO (NO MAPEA)
D33.1|CULTIVO HECES
D33.3|SEROLOGIA HEPATITIS
D33.2|HEPATITIS ANTIGENOS DE LA
D36.1|EXAMEN HUEV. Y PARASI. (HECES)
D36.3|ANALISIS DE HECES
D40.5|ESOFAGOSCOPIA
D40.4|ENDOSCOPIA (DIAGNOST.) RECTAL
D40.0|ENDOSCOPIA DIAGNOSTICA (NO MAPEA)
D40.9|RECTOCOLONOSCOPIA
D40.7|PROCTOSCOPIA
D40.10|SIGMOIDOSCOPIA
D41.4|ULTRASONIDOS VESICULA BILIAR
D41.1|BARIO, ENE. O DEGLU. DE
D43.1|LABORA., PRUEB. DE (TEST) CONTENIDO GASTRICO
D43.0|OTROS PROCEDIMIENTOS DIAG. (NO MAPEA)
D45.2|DIETETICA
D45.0|OBSERVACION/EPS/CONSEJO/DIETA (NO MAPEA)
D49.1|FLUORACION
D51.1|ASPIRACION (TERAPE.) GASTRICA
D54.1|HERNIA SOPORTE, BRAGUERO NC
D70.2|AMEBIASIS
D70.3|CAMPYLOBACTER, ENTER. POR
D70.6|DIARREA, BACTERIANA NC
F54.3|GAFAS AJUSTAR, GRADUAR
F54.2|AJUSTE E INSERCION LENTES DE CONTACTO
F54.1|AJUSTE E INSERCION GAFAS
F70.0|CONJUNTIVITIS INFECCIOSAS (NO MAPEA)
F70.3|CONJUNTIVITIS INFECCIOSA VIRAL NC
F71.1|CONJUNTIVITIS ALERGICA NC
F71.0|CONJUNTIVITIS ALERGICA (NO MAPEA)
F72.1|BLEFARITIS
F72.2|CHALACION
F72.5|BLEFARITIS SEBORREICA
F72.6|BLEFARITIS/ORZUELO/CHALACION
F72.8|DERMATITIS DEL PARPADO/S
F72.11|ECCEMA PALPEBRAL
F73.29|CONJUNTIVITIS AGUDA
F73.4|PUS (EN) OJO
F73.8|DACRIOCISTITIS CRONICA
F73.10|QUERATITIS ACTINICA
F73.0|OTRAS INFECC/INFLAMACIONES OJOS (NO MAPEA)
F73.17|CONJUNTIVITIS NC
F73.21|UVEITIS
F73.23|CONJUNTIVITIS IRRITATIVA
A87.6|EFECTO ADVERSO RAYOS X NC
A87.5|EFECTO ADVERSO RADIACION (EN ATENCION MEDICA) NC
A87.3|COMPLICACION POSTQUIRURGICA NC
A87.2|COMPLICACION MUÑON (AMPUTACION) NC
A87.1|ANESTESICO, SHOCK
A88.0|EFECTOS ADVERSOS FACTORES FISICOS (NO MAPEA)
A88.22|VOMITO CINETICO (POR MOVIMIENTO)
A88.6|EFECTO ADVERSO ALTURA NC
A88.17|ERITEMA PERNIO
A88.19|HIPOTERMIA
A88.2|CALOR CALAMBRES DE (SINCOPE)
A88.4|CONGELACION
A88.13|EFECTO ADVERSO INMERSION NC
A88.12|EFECTO ADVERSO ILUMINACION NC
A88.10|EFECTO ADVERSO FRIO NC
A89.1|COMPLICACION APARATOS NC
A89.3|COMPLICACION PROTESIS NC
A89.4|EFECTO TARDIO INSTRUMEN./APARAT.
A89.5|PROTESIS EFECTO ADVERSO TARD.
A90.7|ALBINISMO
A90.6|SINDROME TURNER
A90.5|SINDROME KLINEFELTER
A90.8|NEUROFIBROMATOSIS (ENF. DE VON RECKLINGHAUSEN)
A90.2|CONGENITA, ANOM. MULTIPLES SINDROMES
A90.0|ANOMALIAS CONGEN MULTIPLES NE (NO MAPEA)
A91.9|ANORMAL PRUEBA SANGUINEA BIOQUIMICA SANGUIN. NC
A91.10|ANORMAL PRUEBA SANGUINEA ENZ.SERIC. NC
A91.12|ANORMALIDAD PRUEBA SANGUINEA (INEXPLICABLE) TRANSAMINASAS
A91.13|HIPERGLUCEMIA (SIN DIABETES)
A91.15|AUMENTO, AUMENTADO. VELOCIDAD DE SEDIMENTACION
A91.16|ACIDOSIS
A91.19|HIPOCALCEMIA
A91.21|ANORMAL PRUEBA SANGUINEA TRANSAMINASAS NC
A91.23|CETONEMIA
A91.24|HIPERTRANSAMINASSEMIA NC
A91.25|GLUCEMIA BASAL ALTERADA
A91.994|INTOLERANCIA A LA GLUCOSA (NO DIABETES)
A91.30|ANORMALIDAD PRUEBA SANGUINEA (INEXPLICABLE) HEMATIES NC
A91.32|HIPOFOSFATEMIA
A91.33|INTOLERANCIA A LA GLUCOSA
A91.34|AUGMENT, AUGMENTAT ENZIMS SERICS NC
A91.36|HIPERURICEMIA ASINTOMATICA
A91.38|HIPONATREMIA
A91.41|HIPERPOTASEMIA
A91.42|POLIGLOBULIA
A91.48|HIPERGLUCEMIA
A91.50|HIPOPROTEINEMIA
A91.52|ALTERACION DE GGT
A91.7|ANALISIS SANGRE CON ANORM INESPECIFICA (OTRA) 
K42.3|EJERCICIO ECG
K55.0|INYECCION/INFILTRACION LOCAL (NO MAPEA)
K55.1|INYECCION VENAS
K70.3|AGUDO Y SUBAGUDO PERICARDITIS
K70.4|ENDOCARD. (AGUD.) (SUBA.) NO REUMATICA
K70.9|MIOCARDITIS AGUDA NO REUMATICA
K70.0|ENF INFECC CARDIOVASCULARES (NO MAPEA)
